Country/territory,WHO Preferred Vaccine Name,mmm Year,Bilateral/multilateral agreements,Donations,COVAX,AVAT,Unknown,Total Doses Delivered
Afghanistan,AstraZeneca - Vaxzevria,7/1/2021,,,"124,800",,,"124,800"
Afghanistan,AstraZeneca - Vaxzevria,8/1/2021,,,"144,000",,,"144,000"
Afghanistan,AstraZeneca - Vaxzevria,11/1/2021,,,"151,200",,,"151,200"
Afghanistan,BBIL - Covaxin,12/1/2021,,"500,000",,,,"500,000"
Afghanistan,Janssen - Ad26.COV 2.S,7/1/2021,,,"3,312,050",,,"3,312,050"
Afghanistan,Janssen - Ad26.COV 2.S,12/1/2021,,,"2,004,000",,,"2,004,000"
Afghanistan,Janssen - Ad26.COV 2.S,1/1/2022,,,"840,000",,,"840,000"
Afghanistan,Janssen - Ad26.COV 2.S,2/1/2022,,,"388,800",,,"388,800"
Afghanistan,Janssen - Ad26.COV 2.S,3/1/2022,,,"1,836,000",,,"1,836,000"
Afghanistan,Janssen - Ad26.COV 2.S,5/1/2022,,,"2,340,000",,,"2,340,000"
Afghanistan,Janssen - Ad26.COV 2.S,8/1/2022,,,"3,974,400",,,"3,974,400"
Afghanistan,Janssen - Ad26.COV 2.S,9/1/2022,,,"748,800",,,"748,800"
Afghanistan,SII - Covishield,2/1/2021,,"500,000",,,,"500,000"
Afghanistan,SII - Covishield,3/1/2021,,,"468,000",,,"468,000"
Afghanistan,Sinopharm (Beijing) - BBIBP-CorV,6/1/2021,,"700,000",,,,"700,000"
Afghanistan,Sinopharm (Beijing) - BBIBP-CorV,12/1/2021,,"2,000,000",,,,"2,000,000"
Albania,AstraZeneca - Vaxzevria,3/1/2021,,,"38,400",,,"38,400"
Albania,AstraZeneca - Vaxzevria,4/1/2021,,,"40,800",,,"40,800"
Albania,AstraZeneca - Vaxzevria,5/1/2021,,"10,000",,,,"10,000"
Albania,AstraZeneca - Vaxzevria,6/1/2021,,"20,000","40,800",,,"60,800"
Albania,AstraZeneca - Vaxzevria,7/1/2021,,"100,000",,,,"100,000"
Albania,AstraZeneca - Vaxzevria,8/1/2021,,"30,000",,,,"30,000"
Albania,AstraZeneca - Vaxzevria,10/1/2021,,,"188,400",,,"188,400"
Albania,AstraZeneca - Vaxzevria,11/1/2021,,"20,000",,,,"20,000"
Albania,Gamaleya - Sputnik V,3/1/2021,,"10,000",,,,"10,000"
Albania,Gamaleya - Sputnik V,4/1/2021,"25,000",,,,,"25,000"
Albania,Gamaleya - Sputnik V,6/1/2021,"25,000",,,,,"25,000"
Albania,Pfizer BioNTech - Comirnaty,1/1/2021,,975,,,,975
Albania,Pfizer BioNTech - Comirnaty,2/1/2021,"15,210",,,,,"15,210"
Albania,Pfizer BioNTech - Comirnaty,3/1/2021,"24,570",,,,,"24,570"
Albania,Pfizer BioNTech - Comirnaty,4/1/2021,"30,420",,,,,"30,420"
Albania,Pfizer BioNTech - Comirnaty,5/1/2021,"62,010",,,,,"62,010"
Albania,Pfizer BioNTech - Comirnaty,6/1/2021,"35,100",,,,,"35,100"
Albania,Pfizer BioNTech - Comirnaty,7/1/2021,"134,960",,"23,400",,,"158,360"
Albania,Pfizer BioNTech - Comirnaty,8/1/2021,"145,302","150,000",,,,"295,302"
Albania,Pfizer BioNTech - Comirnaty,10/1/2021,"117,000",,,,,"117,000"
Albania,Pfizer BioNTech - Comirnaty,11/1/2021,"74,880",,,,,"74,880"
Albania,Pfizer BioNTech - Comirnaty,12/1/2021,"375,000",,,,,"375,000"
Albania,Pfizer BioNTech - Comirnaty,5/1/2022,"140,400",,,,,"140,400"
Albania,SII - Covishield,4/1/2021,,"50,000",,,,"50,000"
Albania,Sinovac - CoronaVac,2/1/2021,"192,000",,,,,"192,000"
Albania,Sinovac - CoronaVac,4/1/2021,"308,000",,,,,"308,000"
Albania,Sinovac - CoronaVac,5/1/2021,"60,000",,,,,"60,000"
Albania,Unknown,6/1/2021,,,,,"76,553","76,553"
Albania,Unknown,9/1/2021,,,,,"267,011","267,011"
Albania,Unknown,1/1/2022,,,,,"85,262","85,262"
Albania,Unknown,2/1/2022,,,,,"196,851","196,851"
Albania,Unknown,3/1/2022,,,,,"70,677","70,677"
Albania,Unknown,4/1/2022,,,,,"37,901","37,901"
Albania,Unknown,7/1/2022,,,,,"12,900","12,900"
Albania,Unknown,8/1/2022,,,,,"17,038","17,038"
Albania,Unknown,9/1/2022,,,,,"19,854","19,854"
Algeria,AstraZeneca - Vaxzevria,4/1/2021,,,"364,800",,,"364,800"
