date,sim_rcase,emp_rcase,behavior
2020-02-05,0,0,0.25
2020-02-06,0,0,0.25
2020-02-07,0,0,0.25
2020-02-08,0,0,0.25
2020-02-09,0,0,0.25
2020-02-10,0,0,0.25
2020-02-11,0,0,0.25
2020-02-12,0,0,0.25
2020-02-13,0,0,0.25
2020-02-14,0,0,0.25
2020-02-15,0,0,0.25
2020-02-16,0,0,0.25
2020-02-17,0,0,0.25
2020-02-18,0,0,0.25
2020-02-19,0,0,0.245536
2020-02-20,0,0,0.241071
2020-02-21,0,0,0.236607
2020-02-22,0,0,0.232143
2020-02-23,0,0,0.227679
2020-02-24,0,0,0.223214
2020-02-25,0,0,0.21875
2020-02-26,0,0,0.214286
2020-02-27,0,0,0.209821
2020-02-28,0,0,0.205357
2020-02-29,0,0,0.200893
2020-03-01,0,0,0.196429
2020-03-02,0,2,0.191964
2020-03-03,0,2,0.1875
2020-03-04,0,4,0.190848
2020-03-05,0,1,0.194196
2020-03-06,0,0,0.197545
2020-03-07,0,4,0.200893
2020-03-08,0,1,0.204241
2020-03-09,0,5,0.207589
2020-03-10,0,3,0.210938
2020-03-11,1,6,0.214286
2020-03-12,0,7,0.217634
2020-03-13,2,24,0.220982
2020-03-14,1,45,0.22433
2020-03-15,0,33,0.227679
2020-03-16,0,31,0.231027
2020-03-17,0,70,0.234375
2020-03-18,4,107,0.233398
2020-03-19,0,87,0.232422
2020-03-20,4,150,0.231445
2020-03-21,1,217,0.230469
2020-03-22,8,306,0.229492
2020-03-23,7,193,0.228516
2020-03-24,5,299,0.227539
2020-03-25,12,515,0.226562
2020-03-26,9,560,0.225586
2020-03-27,10,689,0.224609
2020-03-28,13,728,0.223633
2020-03-29,14,909,0.222656
2020-03-30,9,897,0.22168
2020-03-31,9,937,0.220703
2020-04-01,11,1071,0.243948
2020-04-02,14,1298,0.267192
2020-04-03,18,1312,0.290437
2020-04-04,16,1191,0.313681
2020-04-05,13,783,0.336926
2020-04-06,14,1209,0.360171
2020-04-07,21,1047,0.383415
2020-04-08,17,1074,0.40666
2020-04-09,19,1061,0.429904
2020-04-10,15,1120,0.453149
2020-04-11,13,1089,0.476394
2020-04-12,16,823,0.499638
2020-04-13,14,970,0.522883
2020-04-14,22,600,0.546127
2020-04-15,24,918,0.574044
2020-04-16,10,1209,0.601961
2020-04-17,26,1089,0.629878
2020-04-18,36,746,0.657794
2020-04-19,16,715,0.685711
2020-04-20,21,752,0.713628
2020-04-21,19,894,0.741545
2020-04-22,14,714,0.769461
2020-04-23,15,1230,0.797378
2020-04-24,18,756,0.825295
2020-04-25,13,803,0.853212
2020-04-26,22,523,0.881129
2020-04-27,20,756,0.909045
2020-04-28,12,354,0.936962
2020-04-29,11,527,0.886768
2020-04-30,12,996,0.836573
2020-05-01,8,711,0.786379
2020-05-02,15,640,0.736185
2020-05-03,14,771,0.68599
2020-05-04,12,587,0.635796
2020-05-05,12,602,0.585601
2020-05-06,8,642,0.535407
2020-05-07,14,353,0.485213
2020-05-08,10,794,0.435018
2020-05-09,12,699,0.384824
2020-05-10,7,389,0.334629
2020-05-11,6,613,0.284435
2020-05-12,14,814,0.234241
2020-05-13,7,805,0.225352
2020-05-14,6,801,0.216463
2020-05-15,9,492,0.207575
2020-05-16,15,1155,0.198686
2020-05-17,13,667,0.189798
2020-05-18,5,627,0.180909
2020-05-19,13,489,0.17202
2020-05-20,17,1201,0.163132
2020-05-21,14,736,0.154243
2020-05-22,6,744,0.145355
2020-05-23,10,556,0.136466
2020-05-24,11,997,0.127577
2020-05-25,16,508,0.118689
2020-05-26,12,484,0.1098
2020-05-27,9,618,0.105879
2020-05-28,13,1233,0.101957
2020-05-29,16,763,0.0980359
2020-05-30,10,875,0.0941145
2020-05-31,16,714,0.0901931
2020-06-01,19,622,0.0862716
2020-06-02,22,1226,0.0823502
2020-06-03,25,1275,0.0784287
2020-06-04,25,1033,0.0745073
2020-06-05,27,1252,0.0705859
2020-06-06,18,1404,0.0666644
2020-06-07,32,1033,0.062743
2020-06-08,20,1173,0.0588216
2020-06-09,36,1265,0.0549001
2020-06-10,35,1678,0.0529394
2020-06-11,43,1652,0.0509787
2020-06-12,30,2487,0.049018
2020-06-13,51,2158,0.0470572
2020-06-14,41,1772,0.0450965
2020-06-15,56,2741,0.0431358
2020-06-16,40,2462,0.0411751
2020-06-17,47,2723,0.0392144
2020-06-18,50,3353,0.0372537
2020-06-19,54,4026,0.0352929
2020-06-20,71,4642,0.0333322
2020-06-21,82,2763,0.0313715
2020-06-22,70,3825,0.0294108
2020-06-23,81,5497,0.0274501
2020-06-24,87,5029,0.0361335
2020-06-25,87,8898,0.044817
2020-06-26,82,9564,0.0535005
2020-06-27,82,8369,0.062184
2020-06-28,86,5387,0.0708675
2020-06-29,93,6120,0.079551
2020-06-30,126,6586,0.0882344
2020-07-01,114,9487,0.0969179
2020-07-02,118,9419,0.105601
2020-07-03,132,11419,0.114285
2020-07-04,164,9910,0.122968
2020-07-05,171,6260,0.131652
2020-07-06,186,7352,0.140335
2020-07-07,157,9996,0.149019
2020-07-08,194,8914,0.165165
2020-07-09,160,11325,0.181311
2020-07-10,193,10326,0.197456
2020-07-11,212,15277,0.213602
2020-07-12,189,12222,0.229748
2020-07-13,178,9226,0.245894
2020-07-14,191,10049,0.26204
2020-07-15,182,13877,0.278186
2020-07-16,181,11264,0.294331
2020-07-17,212,10241,0.310477
2020-07-18,184,12435,0.326623
2020-07-19,183,10432,0.342769
2020-07-20,183,9313,0.358915
2020-07-21,184,9721,0.375061
2020-07-22,201,10140,0.38622
2020-07-23,200,12368,0.39738
2020-07-24,202,12056,0.40854
2020-07-25,179,9274,0.419699
2020-07-26,190,8822,0.430859
2020-07-27,163,9179,0.442018
2020-07-28,168,9362,0.453178
2020-07-29,187,9890,0.464338
2020-07-30,169,8918,0.475497
2020-07-31,165,9529,0.486657
2020-08-01,152,7082,0.497817
2020-08-02,151,4828,0.508976
2020-08-03,154,5413,0.520136
2020-08-04,160,5454,0.531296
2020-08-05,129,7616,0.539665
2020-08-06,153,7596,0.548035
2020-08-07,146,8387,0.556405
2020-08-08,123,6148,0.564774
2020-08-09,124,4166,0.573144
2020-08-10,126,5800,0.581514
2020-08-11,116,8102,0.589884
2020-08-12,105,6249,0.598253
2020-08-13,116,6129,0.606623
2020-08-14,109,6297,0.614993
2020-08-15,84,3811,0.623362
2020-08-16,93,2695,0.631732
2020-08-17,94,3895,0.640102
2020-08-18,68,4141,0.648472
2020-08-19,79,4553,0.625312
2020-08-20,70,4661,0.602152
2020-08-21,68,4332,0.578993
2020-08-22,55,3017,0.555833
2020-08-23,48,2065,0.532673
2020-08-24,42,2746,0.509513
2020-08-25,49,3280,0.486354
2020-08-26,59,3191,0.463194
2020-08-27,46,3622,0.440034
2020-08-28,47,3141,0.416875
2020-08-29,43,2621,0.393715
2020-08-30,45,1697,0.370555
2020-08-31,48,7451,0.347396
2020-09-01,47,2539,0.324236
2020-09-02,46,3627,0.312656
2020-09-03,36,3247,0.301076
2020-09-04,31,3712,0.289496
2020-09-05,44,2515,0.277916
2020-09-06,49,1883,0.266337
2020-09-07,34,1829,0.254757
2020-09-08,48,2359,0.243177
2020-09-09,42,2570,0.231597
2020-09-10,38,3671,0.220017
2020-09-11,40,3194,0.208437
2020-09-12,33,2394,0.196857
2020-09-13,40,1806,0.185278
2020-09-14,34,2671,0.173698
2020-09-15,52,2356,0.162118
2020-09-16,50,3284,0.162118
2020-09-17,40,3211,0.162118
2020-09-18,43,3585,0.162118
2020-09-19,39,2533,0.162118
2020-09-20,48,1667,0.162118
2020-09-21,45,2406,0.162118
2020-09-22,53,2618,0.162118
2020-09-23,47,2627,0.162118
2020-09-24,43,2849,0.162118
2020-09-25,39,2799,0.162118
2020-09-26,50,1855,0.162118
2020-09-27,39,817,0.162118
2020-09-28,44,3212,0.162118
2020-09-29,53,2093,0.162118
2020-09-30,47,2841,0.157775
2020-10-01,51,2699,0.153433
2020-10-02,52,2809,0.149091
2020-10-03,49,1896,0.144748
2020-10-04,42,1385,0.140406
2020-10-05,53,2316,0.136063
2020-10-06,46,2550,0.131721
2020-10-07,43,3306,0.127378
2020-10-08,65,2918,0.123036
2020-10-09,44,1820,0.118693
2020-10-10,42,3696,0.114351
2020-10-11,60,1573,0.110009
2020-10-12,43,2730,0.105666
2020-10-13,48,2894,0.101324
2020-10-14,49,3339,0.0940863
2020-10-15,63,3446,0.0868489
2020-10-16,60,4034,0.0796115
2020-10-17,56,2515,0.0723741
2020-10-18,58,1755,0.0651367
2020-10-19,83,3648,0.0578993
2020-10-20,61,2190,0.0506618
2020-10-21,59,5520,0.0434244
2020-10-22,74,3748,0.036187
2020-10-23,65,4455,0.0289496
2020-10-24,65,2377,0.0217122
2020-10-25,69,3369,0.0144748
2020-10-26,55,4319,0.00723741
2020-10-27,63,4118,0
2020-10-28,67,4234,0
2020-10-29,68,5454,0
2020-10-30,71,2548,0
2020-10-31,65,6572,0
2020-11-01,75,2702,0
2020-11-02,72,4619,0
2020-11-03,72,4443,0
2020-11-04,70,6210,0
2020-11-05,82,5256,0
2020-11-06,94,4412,0
2020-11-07,74,6722,0
2020-11-08,69,3887,0
2020-11-09,96,4346,0
2020-11-10,75,5826,0
2020-11-11,85,5578,0
2020-11-12,69,6891,0
2020-11-13,80,4526,0
2020-11-14,88,10090,0
2020-11-15,97,4626,0
2020-11-16,92,7422,0
2020-11-17,117,7876,0
2020-11-18,88,9102,0
2020-11-19,86,9009,0
2020-11-20,99,8360,0
2020-11-21,108,6621,0
2020-11-22,98,6219,0
2020-11-23,110,8305,0
2020-11-24,115,8305,0
2020-11-25,107,10383,0
2020-11-26,112,6759,0
2020-11-27,117,6247,0
2020-11-28,120,7337,0
2020-11-29,152,6632,0
2020-11-30,122,8852,0
2020-12-01,98,10058,0
2020-12-02,123,10805,0
2020-12-03,121,10147,0
2020-12-04,152,10346,0
2020-12-05,126,8381,0
2020-12-06,129,7646,0
2020-12-07,127,7983,0
2020-12-08,115,9532,0
2020-12-09,145,11467,0
2020-12-10,113,11571,0
2020-12-11,134,10553,0
2020-12-12,133,8992,0
2020-12-13,145,8410,0
2020-12-14,144,9591,0
2020-12-15,140,11491,0
2020-12-16,143,13043,0
2020-12-17,169,13096,0
2020-12-18,174,11574,0
2020-12-19,154,8355,0
2020-12-20,157,10842,0
2020-12-21,187,10377,0
2020-12-22,199,11343,0
2020-12-23,197,13121,0
2020-12-24,157,10855,0
2020-12-25,185,6030,0
2020-12-26,181,7231,0
2020-12-27,194,8242,0
2020-12-28,187,12207,0
2020-12-29,214,13805,0
2020-12-30,205,17026,0
2020-12-31,224,21489,0
2021-01-01,221,9917,0
2021-01-02,211,10733,0
2021-01-03,244,11519,0
2021-01-04,217,15554,0
2021-01-05,232,17807,0
2021-01-06,255,19845,0.00223214
2021-01-07,252,19445,0.00446429
2021-01-08,231,15340,0.00669643
2021-01-09,261,12486,0.00892857
2021-01-10,257,11819,0.0111607
2021-01-11,267,14875,0.0133929
2021-01-12,272,13985,0.015625
2021-01-13,275,13685,0.0178571
2021-01-14,276,16865,0.0200893
2021-01-15,290,12111,0.0223214
2021-01-16,298,11090,0.0245536
2021-01-17,284,7939,0.0267857
2021-01-18,262,9788,0.0290179
2021-01-19,264,11768,0.03125
2021-01-20,307,12889,0.0658482
2021-01-21,306,13666,0.100446
